f000,f001,f002,f003,f004,f005,f006,f007,f008,f009,f010,f011,f012,f013,f014,f015,f016,f017,f018,f019,f020,f021,f022,f023,f024,f025,f026,f027,f028,f029,f030,f031,f032,f033,f034,f035,f036,f037,f038,f039,f040,f041,f042,f043,f044,label
161.86328125,170.06639099121094,141.75027465820312,33.69588851928711,154.4783172607422,172.87791442871094,41.27815628051758,147.57614135742188,160.7435760498047,45.9039421081543,145.9796600341797,152.311767578125,55.22481155395508,139.95199584960938,145.3297882080078,0.16213466227054596,0.11973679810762405,0.12828603386878967,0.12494766712188721,0.1179870069026947,0.6234607100486755,172.88363647460938,178.46327209472656,148.76687622070312,63.494930267333984,142.17568969726562,161.60641479492188,60.750179290771484,143.76072692871094,151.99526977539062,61.18119812011719,141.37962341308594,150.5363311767578,64.9178237915039,140.07406616210938,150.8927001953125,0.14880573749542236,0.11817681789398193,0.11119916290044785,0.10868658125400543,0.10351923108100891,0.43790745735168457,0.6512665152549744,0.30969271063804626,2.0,2 fists walking forward
167.62208557128906,174.5326690673828,137.46995544433594,46.22908401489258,153.15814208984375,156.4462432861328,54.324764251708984,152.3611297607422,144.95025634765625,59.073516845703125,150.7687530517578,140.564697265625,58.3914909362793,148.3571319580078,145.11460876464844,0.14620424807071686,0.1090528592467308,0.10621859133243561,0.10228028893470764,0.100381039083004,0.4760824143886566,163.8948516845703,168.86077880859375,139.82427978515625,55.83152389526367,153.81961059570312,155.38397216796875,63.685699462890625,148.3229217529297,143.88426208496094,64.02485656738281,146.43942260742188,140.53689575195312,66.5363998413086,143.850341796875,139.42535400390625,0.1490303874015808,0.1064349114894867,0.10893742740154266,0.1082751601934433,0.10606908053159714,0.4058557450771332,0.6507717967033386,0.3250627815723419,2.0,2 fists walking forward
172.14450073242188,173.3936767578125,134.4522705078125,49.6939582824707,147.61451721191406,143.6744842529297,57.91129684448242,141.63247680664062,133.16558837890625,60.248191833496094,142.7573699951172,130.12203979492188,59.85828399658203,143.3177490234375,131.70834350585938,0.13986462354660034,0.10193751752376556,0.10165126621723175,0.09932053089141846,0.10194265097379684,0.3980414867401123,155.55975341796875,152.48326110839844,141.5623779296875,48.267276763916016,154.43206787109375,160.81956481933594,57.764625549316406,148.9261474609375,148.27761840820312,62.5272331237793,146.8828582763672,138.2978515625,72.34232330322266,145.97164916992188,128.92062377929688,0.12216504663228989,0.10315978527069092,0.10720037668943405,0.10374460369348526,0.09555639326572418,0.37571844458580017,0.6566317677497864,0.352696031332016,2.0,2 fists walking forward
170.90989685058594,168.9625244140625,131.2004852294922,48.94565963745117,151.40072631835938,148.4208221435547,59.300777435302734,145.5948944091797,133.47955322265625,63.160179138183594,145.36956787109375,127.9507064819336,62.74366760253906,144.4093475341797,130.72781372070312,0.1311727613210678,0.09443686157464981,0.09629102051258087,0.09383946657180786,0.09561880677938461,0.4202916622161865,151.95272827148438,154.78602600097656,142.60733032226562,41.81996536254883,159.85491943359375,161.0198516845703,54.70833969116211,154.9600830078125,143.29751586914062,57.02996063232422,153.50115966796875,136.2998809814453,60.24496841430664,152.7748565673828,131.94203186035156,0.1132250726222992,0.09059281647205353,0.0961233451962471,0.09674008935689926,0.09289450943470001,0.42951345443725586,0.6731123924255371,0.3806173503398895,2.0,2 fists walking forward
171.37045288085938,164.53773498535156,131.01905822753906,54.560340881347656,147.5519256591797,138.34629821777344,62.337074279785156,138.99583435058594,126.85584259033203,62.27519989013672,142.4452362060547,125.90229797363281,60.44122314453125,143.91131591796875,129.41845703125,0.12516625225543976,0.09052195399999619,0.09540224820375443,0.09458837658166885,0.0980127826333046,0.3314438760280609,159.5313720703125,149.4243621826172,143.17665100097656,60.83930206298828,159.5513916015625,137.92091369628906,70.60590362548828,153.94992065429688,124.45906829833984,67.98739624023438,153.83804321289062,125.43570709228516,65.73790740966797,153.33428955078125,128.77684020996094,0.12377756088972092,0.09437957406044006,0.09731389582157135,0.09721603989601135,0.09584389626979828,0.3874991834163666,0.6832472681999207,0.3942711353302002,2.0,2 fists walking forward
172.0606231689453,165.79100036621094,141.1029815673828,57.60246276855469,146.21722412109375,129.13267517089844,64.49258422851562,139.08395385742188,118.52802276611328,65.6158447265625,139.4221649169922,115.86148834228516,68.4609603881836,134.0085906982422,112.76365661621094,0.12624585628509521,0.09001602977514267,0.08992462605237961,0.09077095985412598,0.09537692368030548,0.34373724460601807,162.39097595214844,147.468017578125,144.82090759277344,60.71116638183594,159.4959716796875,133.7023162841797,73.59201049804688,154.26040649414062,118.47802734375,70.68470001220703,152.8672332763672,121.10858154296875,65.59366607666016,151.33755493164062,129.1232452392578,0.12943579256534576,0.09309987723827362,0.09598787873983383,0.09898658841848373,0.1012384220957756,0.38842618465423584,0.6842618584632874,0.40412333607673645,2.0,2 fists walking forward
174.09188842773438,170.28065490722656,143.88494873046875,52.20103454589844,150.85389709472656,135.1759796142578,54.5422248840332,147.46661376953125,128.26266479492188,54.896305084228516,148.05873107910156,124.53005981445312,61.210105895996094,146.2267303466797,120.85242462158203,0.12389186024665833,0.0873522013425827,0.08563794195652008,0.08462710678577423,0.08993879705667496,0.37990573048591614,162.6526641845703,155.163330078125,132.8283233642578,55.789146423339844,154.07566833496094,133.0156707763672,66.40523529052734,150.49301147460938,121.6740951538086,67.86280822753906,149.5649871826172,118.69727325439453,69.89704895019531,148.8992156982422,118.58926391601562,0.13101118803024292,0.0892368033528328,0.0924205332994461,0.09732144325971603,0.10001172870397568,0.3954596519470215,0.6864436268806458,0.4125734567642212,2.0,2 fists walking forward
173.6590576171875,170.3522186279297,145.38584899902344,55.58523178100586,147.39418029785156,128.42709350585938,58.47612762451172,142.2945556640625,121.58997344970703,55.891258239746094,141.1017303466797,121.95164489746094,58.10608673095703,136.63629150390625,118.73247528076172,0.12333463132381439,0.08875332027673721,0.08370412886142731,0.0841873362660408,0.08862856775522232,0.3813103139400482,163.77688598632812,158.2173614501953,133.1207275390625,56.946739196777344,149.41455078125,132.88807678222656,69.05094909667969,149.69674682617188,116.80931854248047,69.04637145996094,151.4559326171875,113.57772827148438,76.24142456054688,151.6421661376953,108.8509521484375,0.1308739334344864,0.09130922704935074,0.08881690353155136,0.0903536006808281,0.09399543702602386,0.4028359055519104,0.6855178475379944,0.4197314977645874,2.0,2 fists walking forward
171.95347595214844,170.08897399902344,144.75479125976562,54.526824951171875,148.9474334716797,130.60397338867188,63.411277770996094,139.47377014160156,118.53277587890625,63.85089111328125,140.649658203125,115.91873931884766,66.26004028320312,136.6560516357422,113.60987854003906,0.12455254793167114,0.08862544596195221,0.08683490753173828,0.0857086256146431,0.09142261743545532,0.35471123456954956,164.16043090820312,159.94107055664062,133.62582397460938,55.67873764038086,150.13314819335938,132.73446655273438,66.12794494628906,151.25332641601562,119.83811950683594,65.228759765625,153.12945556640625,116.60691833496094,68.62071990966797,149.97206115722656,115.00863647460938,0.12803849577903748,0.08864706009626389,0.090725839138031,0.09338030964136124,0.10072633624076843,0.3963691294193268,0.6861258149147034,0.41930678486824036,2.0,2 fists walking forward
173.3172607421875,165.64613342285156,145.880859375,56.8107795715332,145.9939727783203,129.44544982910156,61.70383834838867,140.77783203125,121.67346954345703,62.08145523071289,140.01248168945312,120.02934265136719,65.23014068603516,134.1907958984375,116.81497955322266,0.1250574141740799,0.09154712408781052,0.09363452345132828,0.09513364732265472,0.09907260537147522,0.3110436201095581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.685073733329773,0.5,2.0,2 fists walking forward
